filename,algo,sim,threshold,exe,pairs,lookups,indexEntriesSeen,candidatesP1,candidatesVerify,verifyTrueSteps,verifyTrueSetSizeSum,verifyTrueSetSizeCnt,verifyFalseSteps,verifyFalseSetSizeSum,verifyFalseSetSizeCnt,verifyLoop0True,verifyLoop0False,readrawrecords,algoindex,algojoin,readrawforeignrecords,adaptjoinlastext0,adaptjoinlastext1,adaptjoinlastext2,adaptjoinlastext3,adaptjoinlastext4,adaptjoinlastext5,adaptjoinlastext6,adaptjoinlastext7,adaptjoinlastext8,adaptjoinlastext9,adaptjoinlastext10,adaptjoinlastext11,adaptjoinlastext12,adaptjoinlastext13,adaptjoinlastext14,adaptjoinlastext15,adaptjoinlastext16,adaptjoinlastext17,adaptjoinlastext18,adaptjoinlastext19,adaptjoinlastext20
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.5,set_sim_join_nostat,2406980403,,,,,,,,,,,,,3228,884,602224,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.6,set_sim_join_nostat,152411294,,,,,,,,,,,,,3476,1268,306028,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.7,set_sim_join_ext_stat,12966629,6644691,5800505334,1112690312,35014140,26663338,62839426,10688126,82748485,239698273,44095022,,,3512,1308,102440,320,431463,491980,76948,4244,494,140,60,89,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.7,set_sim_join_nostat,12966629,,,,,,,,,,,,,3280,1028,75676,416,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.9,set_sim_join_ext_stat,3770786,704616,57337968,35297741,185178021,3013450,26566885,7541572,280347020,1687842641,362814470,2624904,1031,3284,1792,7716,488,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.95,set_sim_join_nostat,3761447,,,,,,,,,,,,,3348,1016,9356,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.75,set_sim_join_nostat,12736613,,,,,,,,,,,,,3352,1180,47340,508,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.95,set_sim_join_candonly,0,,,,,,,,,,,,,3208,1028,2928,416,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.5,set_sim_join_nostat,2406980403,,,,,,,,,,,,,3528,1124,480244,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.7,set_sim_join_nostat,12966629,,,,,,,,,,,,,3340,1216,51148,428,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.5,set_sim_join_candonly,0,,,,,,,,,,,,,3348,1040,277660,332,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.8,set_sim_join_candonly,0,,,,,,,,,,,,,3488,1080,11020,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.8,set_sim_join_nostat,4806011,,,,,,,,,,,,,3268,1612,20772,472,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.5,set_sim_join_candonly,0,,,,,,,,,,,,,3352,1032,239052,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.95,set_sim_join_candonly,0,,,,,,,,,,,,,3280,1468,1544,340,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.95,set_sim_join_ext_stat,3761447,1006832,262289356,184623115,184623115,2870327,26181972,7522894,278722075,1668294134,361723336,2624904,,3440,1192,10200,512,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.6,set_sim_join_ext_stat,152411294,1773220,3034885008,299180827,299180827,273631542,1467563550,304822588,469569504,2547182098,293539066,5705095,133750,3364,1160,238744,508,,,,,,,,,,,,,,,,,,,,,
